"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Montréal, Quebec","2011S0503462","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977559","15.20.1.1.6.1","95300","","","","0"
"2005","Montréal, Quebec","2011S0503462","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977559","15.20.1.1.6.1","118700","","","","0"
"2012","Montréal, Quebec","2011S0503462","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977559","15.20.1.1.6.1","160600","","","","0"
"2016","Montréal, Quebec","2011S0503462","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977559","15.20.1.1.6.1","167000","","","","0"
"1999","Montréal, Quebec","2011S0503462","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977577","15.20.2.1.6.1","97000","","","","0"
"2005","Montréal, Quebec","2011S0503462","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977577","15.20.2.1.6.1","122200","","","","0"
"2012","Montréal, Quebec","2011S0503462","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977577","15.20.2.1.6.1","163100","","","","0"
"2016","Montréal, Quebec","2011S0503462","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977577","15.20.2.1.6.1","170800","","","","0"
"1999","Montréal, Quebec","2011S0503462","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977595","15.20.3.1.6.1","110700","","","","0"
"2005","Montréal, Quebec","2011S0503462","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977595","15.20.3.1.6.1","","F","","","0"
"2012","Montréal, Quebec","2011S0503462","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977595","15.20.3.1.6.1","198200","","","","0"
"2016","Montréal, Quebec","2011S0503462","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977595","15.20.3.1.6.1","206500","","","","0"
"1999","Montréal, Quebec","2011S0503462","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977613","15.20.4.1.6.1","99500","","","","0"
"2005","Montréal, Quebec","2011S0503462","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977613","15.20.4.1.6.1","147200","","","","0"
"2012","Montréal, Quebec","2011S0503462","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977613","15.20.4.1.6.1","179200","","","","0"
"2016","Montréal, Quebec","2011S0503462","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977613","15.20.4.1.6.1","191700","","","","0"
"1999","Montréal, Quebec","2011S0503462","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977631","15.20.5.1.6.1","88500","","","","0"
"2005","Montréal, Quebec","2011S0503462","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977631","15.20.5.1.6.1","98200","","","","0"
"2012","Montréal, Quebec","2011S0503462","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977631","15.20.5.1.6.1","134900","","","","0"
"2016","Montréal, Quebec","2011S0503462","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977631","15.20.5.1.6.1","165400","","","","0"
"1999","Montréal, Quebec","2011S0503462","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977649","15.20.6.1.6.1","79700","","","","0"
"2005","Montréal, Quebec","2011S0503462","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977649","15.20.6.1.6.1","","F","","","0"
"2012","Montréal, Quebec","2011S0503462","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977649","15.20.6.1.6.1","128800","","","","0"
"2016","Montréal, Quebec","2011S0503462","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977649","15.20.6.1.6.1","112400","","","","0"
"1999","Montréal, Quebec","2011S0503462","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977667","15.20.7.1.6.1","","F","","","0"
"2005","Montréal, Quebec","2011S0503462","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977667","15.20.7.1.6.1","","F","","","0"
"2012","Montréal, Quebec","2011S0503462","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977667","15.20.7.1.6.1","","F","","","0"
"2016","Montréal, Quebec","2011S0503462","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114977667","15.20.7.1.6.1","112300","","","","0"
"1999","Toronto, Ontario","2011S0503535","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114980961","16.20.1.1.6.1","156600","","","","0"
"2005","Toronto, Ontario","2011S0503535","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114980961","16.20.1.1.6.1","194000","","","","0"
"2012","Toronto, Ontario","2011S0503535","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114980961","16.20.1.1.6.1","226000","","","","0"
"2016","Toronto, Ontario","2011S0503535","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114980961","16.20.1.1.6.1","299300","","","","0"
"1999","Toronto, Ontario","2011S0503535","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114980979","16.20.2.1.6.1","157900","","","","0"
"2005","Toronto, Ontario","2011S0503535","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114980979","16.20.2.1.6.1","199600","","","","0"
"2012","Toronto, Ontario","2011S0503535","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114980979","16.20.2.1.6.1","232400","","","","0"
"2016","Toronto, Ontario","2011S0503535","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114980979","16.20.2.1.6.1","304200","","","","0"
"1999","Toronto, Ontario","2011S0503535","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114980997","16.20.3.1.6.1","193800","","","","0"
"2005","Toronto, Ontario","2011S0503535","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114980997","16.20.3.1.6.1","","F","","","0"
"2012","Toronto, Ontario","2011S0503535","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114980997","16.20.3.1.6.1","273200","","","","0"
"2016","Toronto, Ontario","2011S0503535","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114980997","16.20.3.1.6.1","337300","","","","0"
"1999","Toronto, Ontario","2011S0503535","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981015","16.20.4.1.6.1","152000","","","","0"
"2005","Toronto, Ontario","2011S0503535","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981015","16.20.4.1.6.1","225500","","","","0"
"2012","Toronto, Ontario","2011S0503535","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981015","16.20.4.1.6.1","266900","","","","0"
"2016","Toronto, Ontario","2011S0503535","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981015","16.20.4.1.6.1","328500","","","","0"
"1999","Toronto, Ontario","2011S0503535","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981033","16.20.5.1.6.1","147200","","","","0"
"2005","Toronto, Ontario","2011S0503535","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981033","16.20.5.1.6.1","189200","","","","0"
"2012","Toronto, Ontario","2011S0503535","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981033","16.20.5.1.6.1","194500","","","","0"
"2016","Toronto, Ontario","2011S0503535","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981033","16.20.5.1.6.1","283700","","","","0"
"1999","Toronto, Ontario","2011S0503535","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981051","16.20.6.1.6.1","121200","","","","0"
"2005","Toronto, Ontario","2011S0503535","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981051","16.20.6.1.6.1","140000","","","","0"
"2012","Toronto, Ontario","2011S0503535","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981051","16.20.6.1.6.1","182000","E","","","0"
"2016","Toronto, Ontario","2011S0503535","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981051","16.20.6.1.6.1","266800","","","","0"
"1999","Toronto, Ontario","2011S0503535","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981069","16.20.7.1.6.1","","F","","","0"
"2005","Toronto, Ontario","2011S0503535","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981069","16.20.7.1.6.1","","F","","","0"
"2012","Toronto, Ontario","2011S0503535","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981069","16.20.7.1.6.1","","F","","","0"
"2016","Toronto, Ontario","2011S0503535","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981069","16.20.7.1.6.1","217700","","","","0"
"1999","Calgary, Alberta","2011S0503825","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987765","18.20.1.1.6.1","121900","","","","0"
"2005","Calgary, Alberta","2011S0503825","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987765","18.20.1.1.6.1","140500","","","","0"
"2012","Calgary, Alberta","2011S0503825","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987765","18.20.1.1.6.1","243800","","","","0"
"2016","Calgary, Alberta","2011S0503825","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987765","18.20.1.1.6.1","266900","","","","0"
"1999","Calgary, Alberta","2011S0503825","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987783","18.20.2.1.6.1","122500","","","","0"
"2005","Calgary, Alberta","2011S0503825","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987783","18.20.2.1.6.1","140600","","","","0"
"2012","Calgary, Alberta","2011S0503825","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987783","18.20.2.1.6.1","245100","","","","0"
"2016","Calgary, Alberta","2011S0503825","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987783","18.20.2.1.6.1","271600","","","","0"
"1999","Calgary, Alberta","2011S0503825","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987801","18.20.3.1.6.1","141700","","","","0"
"2005","Calgary, Alberta","2011S0503825","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987801","18.20.3.1.6.1","","F","","","0"
"2012","Calgary, Alberta","2011S0503825","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987801","18.20.3.1.6.1","","F","","","0"
"2016","Calgary, Alberta","2011S0503825","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987801","18.20.3.1.6.1","296900","","","","0"
"1999","Calgary, Alberta","2011S0503825","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987819","18.20.4.1.6.1","124200","","","","0"
"2005","Calgary, Alberta","2011S0503825","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987819","18.20.4.1.6.1","","F","","","0"
