"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Calgary, Alberta","2011S0503825","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987819","18.20.4.1.6.1","278500","","","","0"
"2016","Calgary, Alberta","2011S0503825","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987819","18.20.4.1.6.1","273100","","","","0"
"1999","Calgary, Alberta","2011S0503825","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987837","18.20.5.1.6.1","107800","","","","0"
"2005","Calgary, Alberta","2011S0503825","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987837","18.20.5.1.6.1","116000","","","","0"
"2012","Calgary, Alberta","2011S0503825","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987837","18.20.5.1.6.1","187600","","","","0"
"2016","Calgary, Alberta","2011S0503825","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987837","18.20.5.1.6.1","268200","","","","0"
"1999","Calgary, Alberta","2011S0503825","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987855","18.20.6.1.6.1","","F","","","0"
"2005","Calgary, Alberta","2011S0503825","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987855","18.20.6.1.6.1","","F","","","0"
"2012","Calgary, Alberta","2011S0503825","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987855","18.20.6.1.6.1","","F","","","0"
"2016","Calgary, Alberta","2011S0503825","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987855","18.20.6.1.6.1","236500","E","","","0"
"1999","Calgary, Alberta","2011S0503825","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987873","18.20.7.1.6.1","","F","","","0"
"2005","Calgary, Alberta","2011S0503825","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987873","18.20.7.1.6.1","","x","","","0"
"2012","Calgary, Alberta","2011S0503825","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987873","18.20.7.1.6.1","","F","","","0"
"2016","Calgary, Alberta","2011S0503825","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987873","18.20.7.1.6.1","","F","","","0"
"1999","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991167","19.20.1.1.6.1","92900","","","","0"
"2005","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991167","19.20.1.1.6.1","136900","","","","0"
"2012","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991167","19.20.1.1.6.1","211300","","","","0"
"2016","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991167","19.20.1.1.6.1","248100","","","","0"
"1999","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991185","19.20.2.1.6.1","94000","","","","0"
"2005","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991185","19.20.2.1.6.1","137300","","","","0"
"2012","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991185","19.20.2.1.6.1","208800","","","","0"
"2016","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991185","19.20.2.1.6.1","255800","","","","0"
"1999","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991203","19.20.3.1.6.1","113000","","","","0"
"2005","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991203","19.20.3.1.6.1","","F","","","0"
"2012","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991203","19.20.3.1.6.1","","F","","","0"
"2016","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991203","19.20.3.1.6.1","274300","","","","0"
"1999","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991221","19.20.4.1.6.1","92400","","","","0"
"2005","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991221","19.20.4.1.6.1","","F","","","0"
"2012","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991221","19.20.4.1.6.1","","F","","","0"
"2016","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991221","19.20.4.1.6.1","255700","","","","0"
"1999","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991239","19.20.5.1.6.1","87000","","","","0"
"2005","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991239","19.20.5.1.6.1","","F","","","0"
"2012","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991239","19.20.5.1.6.1","173900","","","","0"
"2016","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991239","19.20.5.1.6.1","246900","","","","0"
"1999","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991257","19.20.6.1.6.1","","F","","","0"
"2005","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991257","19.20.6.1.6.1","","F","","","0"
"2012","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991257","19.20.6.1.6.1","","F","","","0"
"2016","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991257","19.20.6.1.6.1","232300","","","","0"
"1999","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991275","19.20.7.1.6.1","","F","","","0"
"2005","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991275","19.20.7.1.6.1","","x","","","0"
"2012","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991275","19.20.7.1.6.1","","F","","","0"
"2016","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991275","19.20.7.1.6.1","","F","","","0"
"1999","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994569","20.20.1.1.6.1","176300","","","","0"
"2005","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994569","20.20.1.1.6.1","218100","","","","0"
"2012","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994569","20.20.1.1.6.1","292700","","","","0"
"2016","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994569","20.20.1.1.6.1","320000","","","","0"
"1999","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994587","20.20.2.1.6.1","180600","","","","0"
"2005","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994587","20.20.2.1.6.1","220700","","","","0"
"2012","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994587","20.20.2.1.6.1","294700","","","","0"
"2016","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994587","20.20.2.1.6.1","331900","","","","0"
"1999","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994605","20.20.3.1.6.1","195900","","","","0"
"2005","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994605","20.20.3.1.6.1","","F","","","0"
"2012","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994605","20.20.3.1.6.1","324800","E","","","0"
"2016","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994605","20.20.3.1.6.1","324800","","","","0"
"1999","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994623","20.20.4.1.6.1","175000","","","","0"
"2005","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994623","20.20.4.1.6.1","235400","","","","0"
"2012","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994623","20.20.4.1.6.1","342900","","","","0"
"2016","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","35 to 44 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994623","20.20.4.1.6.1","342900","","","","0"
"1999","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994641","20.20.5.1.6.1","191000","","","","0"
"2005","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994641","20.20.5.1.6.1","182700","","","","0"
"2012","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994641","20.20.5.1.6.1","257700","","","","0"
"2016","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","45 to 54 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994641","20.20.5.1.6.1","368100","","","","0"
"1999","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994659","20.20.6.1.6.1","142000","","","","0"
"2005","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994659","20.20.6.1.6.1","","F","","","0"
"2012","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994659","20.20.6.1.6.1","224400","","","","0"
"2016","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994659","20.20.6.1.6.1","232100","","","","0"
"1999","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994677","20.20.7.1.6.1","","F","","","0"
"2005","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994677","20.20.7.1.6.1","","x","","","0"
"2012","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994677","20.20.7.1.6.1","","F","","","0"
"2016","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994677","20.20.7.1.6.1","","F","","","0"


